id,name
582,Templo Parroquial de El Sagrario
581,Palacio Arzobispal
558,Catedral de Santiago
589,Correo Central
564,Palacio de la Real Audiencia y Cajas Reales.
590,Municipalidad de Santiago (Edificio Consistorial Santiago)
563,Palacio Viejo de los Tribunales o Antiguo Palacio de la Aduana
604,Edificio del Cuerpo de Bomberos de Santiago
567,Edificio Comercial Edwards
771,Murales de Nemesio Antúnez
768,Murales de Nemesio Antúnez
769,Murales de Nemesio Antúnez
562,Casa Colorada
561,Iglesia de Santo Domingo
584,Ex Congreso Nacional y los jardines que le rodean
583,Palacio de los Tribunales de Justicia
577,Club de Septiembre (Casa Edwards).
770,Murales de Nemesio Antúnez
597,Iglesia de San Agustín
786,Casa del Presidente Manuel Montt
